age,gender,education_level,employment_status,job_title,has_loan,loan_type,loan_term_months,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,monthly_income_rm,monthly_expenses_rm,savings_rm,loan_amount_rm,monthly_emi_rm
22,Female,Master,Student,Accountant,Yes,Car,180,26.95,6.89,761,3.18,Asia,4623.343000000001,1563.314,176356.032,1391470.72,31834.463
61,Male,Master,Employed,Student,Yes,Education,360,25.09,1.3,558,3.25,Asia,24516.046000000002,20535.992,955606.3500000001,1523727.639,31877.139
61,Male,Bachelor,Employed,Student,No,No Loan,0,0.0,0.0,497,3.74,Asia,11511.851,8483.406,516797.33600000007,0.0,0.0
69,Male,Bachelor,Employed,Salesperson,Yes,Education,180,4.4,1.74,649,7.72,Asia,4692.762000000001,2878.28,434902.797,1077124.004,8185.003000000001
21,Female,PhD,Student,Doctor,No,No Loan,0,0.0,0.0,567,4.64,Asia,2350.0,1612.053,130755.03400000001,0.0,0.0
22,Male,Bachelor,Self-employed,Doctor,Yes,Education,240,29.89,1.04,432,7.83,Asia,28049.835000000003,24339.326,2637188.565,1164263.931,29079.135000000002
30,Female,High School,Employed,Salesperson,Yes,Home,120,3.07,0.22,849,9.9,Asia,9380.777,3170.949,1114504.561,210777.09300000002,2042.103
47,Female,High School,Employed,Doctor,No,No Loan,0,0.0,0.0,594,5.92,Asia,13122.541000000001,6426.357,932892.378,0.0,0.0
55,Female,Bachelor,Employed,Engineer,No,No Loan,0,0.0,0.0,497,9.07,Asia,16551.708,10363.547000000002,1802297.0620000002,0.0,0.0
62,Male,Bachelor,Self-employed,Salesperson,No,No Loan,0,0.0,0.0,710,4.15,Asia,22579.129,13362.664,1124076.534,0.0,0.0
28,Male,Bachelor,Self-employed,Student,Yes,Business,60,17.58,0.54,766,9.55,Asia,23885.4,12850.082,2735965.739,508799.67500000005,12804.210000000001
65,Male,Other,Employed,Engineer,Yes,Business,300,26.87,2.24,643,8.0,Asia,9837.476,8596.488,944408.835,984052.207,22063.304
60,Female,Bachelor,Self-employed,Manager,No,No Loan,0,0.0,0.0,300,7.98,Asia,22309.913,8207.046,2135206.6160000004,0.0,0.0
26,Male,Bachelor,Employed,Teacher,No,No Loan,0,0.0,0.0,578,8.1,Asia,2963.0209999999997,2075.755,287922.987,0.0,0.0
63,Male,Master,Employed,Accountant,Yes,Business,24,21.08,22.81,727,2.34,Asia,2350.0,1160.947,66097.933,1042284.032,53599.411
54,Male,Bachelor,Employed,Unemployed,No,No Loan,0,0.0,0.0,761,3.87,Asia,17895.015,14145.449,830651.6330000001,0.0,0.0
25,Male,Bachelor,Employed,Doctor,No,No Loan,0,0.0,0.0,359,2.24,Asia,9970.251,6824.588,267854.128,0.0,0.0
45,Female,Master,Unemployed,Manager,No,No Loan,0,0.0,0.0,472,8.9,Asia,8264.292,3604.7120000000004,883119.284,0.0,0.0
28,Female,Other,Employed,Doctor,Yes,Education,180,10.37,0.62,725,3.41,Asia,24221.544,12530.811000000002,991628.6070000001,1378600.522,15128.125
59,Male,Bachelor,Employed,Manager,Yes,Education,300,4.26,0.34,549,8.46,Asia,18174.618000000002,10129.299,1845832.128,1148200.741,6226.6539999999995
33,Male,Bachelor,Employed,Student,No,No Loan,0,0.0,0.0,490,6.59,Asia,34225.823000000004,13699.889,2705467.486,0.0,0.0
68,Female,Master,Employed,Teacher,No,No Loan,0,0.0,0.0,846,4.66,Asia,20488.052,11641.994,1145088.73,0.0,0.0
38,Female,High School,Unemployed,Driver,No,No Loan,0,0.0,0.0,623,7.4,Asia,17213.092,10207.789,1528915.217,0.0,0.0
58,Male,Bachelor,Employed,Salesperson,Yes,Car,180,25.83,1.63,737,5.63,Asia,25960.967,9704.278,1754097.293,1920160.936,42245.48
35,Male,High School,Employed,Unemployed,No,No Loan,0,0.0,0.0,340,8.24,Asia,16301.762,12699.541000000001,1612305.86,0.0,0.0
65,Male,Bachelor,Employed,Engineer,Yes,Car,300,23.57,0.21,447,5.17,Asia,32274.148,19864.315,2000601.7650000001,339126.056,6680.533
46,Female,Bachelor,Employed,Engineer,Yes,Education,120,9.17,0.14,643,5.64,Asia,30287.975000000002,19630.630999999998,2050222.908,334338.871,4266.096
28,Female,High School,Self-employed,Accountant,No,No Loan,0,0.0,0.0,527,4.89,Asia,17628.572,15664.630000000001,1033542.079,0.0,0.0
68,Female,Bachelor,Unemployed,Driver,No,No Loan,0,0.0,0.0,446,4.45,Asia,16945.004,13765.736,904371.7910000001,0.0,0.0
57,Male,Master,Employed,Doctor,Yes,Car,24,3.16,4.14,382,0.75,Asia,15449.182,8408.441,139691.05000000002,1487140.2540000002,64024.386999999995
49,Female,Master,Employed,Manager,Yes,Car,60,24.3,5.49,440,3.67,Asia,10730.57,3875.197,472099.913,2037014.968,58956.001000000004
42,Female,Bachelor,Employed,Salesperson,No,No Loan,0,0.0,0.0,756,9.74,Asia,18984.381,13058.903,2219925.291,0.0,0.0
25,Female,Master,Employed,Unemployed,Yes,Business,300,28.45,0.15,733,4.79,Asia,21733.458000000002,14387.029,1248370.3839999998,140362.586,3330.7019999999998
32,Female,Master,Employed,Student,No,No Loan,0,0.0,0.0,600,6.26,Asia,20209.342,7770.134,1518585.3220000002,0.0,0.0
60,Female,High School,Employed,Unemployed,Yes,Business,120,9.0,0.32,621,7.87,Asia,21676.541,17368.192000000003,2046031.307,541015.6370000001,6853.352000000001
69,Female,High School,Employed,Salesperson,No,No Loan,0,0.0,0.0,368,3.41,Asia,9123.922,6138.341,373032.796,0.0,0.0
50,Male,Bachelor,Self-employed,Salesperson,Yes,Education,180,22.8,4.88,514,2.13,Asia,6084.902000000001,2088.7270000000003,155783.75600000002,1509759.6620000002,29688.255
37,Male,Bachelor,Employed,Driver,Yes,Business,180,29.15,1.63,738,4.88,Asia,19528.265,8264.339,1144065.681,1293691.5910000002,31849.409000000003
19,Female,Bachelor,Self-employed,Manager,No,No Loan,0,0.0,0.0,811,0.73,Asia,37529.641,32341.875,330409.248,0.0,0.0
69,Female,Master,Employed,Student,Yes,Home,12,11.6,2.79,436,3.33,Asia,20350.154,17739.022,814352.409,641446.0360000001,56871.73900000001
35,Male,Bachelor,Employed,Driver,No,No Loan,0,0.0,0.0,839,2.3,Asia,12129.948,4405.686,334987.00100000005,0.0,0.0
39,Female,Bachelor,Employed,Accountant,No,No Loan,0,0.0,0.0,728,5.15,Asia,9957.937,6163.438999999999,615945.622,0.0,0.0
30,Female,Bachelor,Student,Driver,Yes,Car,60,15.53,3.21,421,3.57,Asia,12473.377,5389.349,534382.433,1661969.35,40001.981999999996
39,Female,Bachelor,Employed,Unemployed,No,No Loan,0,0.0,0.0,599,6.04,Asia,31672.266,13024.405,2294745.39,0.0,0.0
55,Male,Other,Employed,Driver,Yes,Education,36,3.61,1.37,798,2.49,Asia,16052.756000000001,14424.629,479813.365,750750.3640000001,22035.151
64,Male,PhD,Employed,Teacher,No,No Loan,0,0.0,0.0,521,8.4,Asia,23716.952,17071.058,2390023.931,0.0,0.0
40,Female,Bachelor,Unemployed,Accountant,Yes,Home,12,23.88,5.76,371,1.69,Asia,8365.953,6722.128000000001,169734.578,510113.93600000005,48206.537
55,Male,Master,Employed,Accountant,Yes,Education,300,28.2,3.64,572,4.24,Asia,14605.297000000002,6859.838,743812.3650000001,2259687.949,53152.676
55,Male,Master,Employed,Doctor,Yes,Business,60,19.81,3.23,793,9.64,Asia,10441.144,4896.601,1207489.126,1278248.1430000002,33730.772000000004
26,Female,Master,Employed,Driver,No,No Loan,0,0.0,0.0,412,1.24,Asia,21604.865999999998,10296.008,320570.315,0.0,0.0
